"","orig.ident","nCount_RNA","nFeature_RNA","species","divergence1","divergence2","CT","RNA_snn_res.0.5","seurat_clusters"
"ERR2851889Aligned.sortedByCoord.out.bam","SeuratProject",1540723,5428,"marmoset","newworld","primate","Gland_CS7","6","6"
"ERR2851891Aligned.sortedByCoord.out.bam","SeuratProject",397702,6899,"marmoset","newworld","primate","SYS_CS7","12","12"
"ERR2851893Aligned.sortedByCoord.out.bam","SeuratProject",401905,9730,"marmoset","newworld","primate","EmDisc_CS6","2","2"
"ERR2851897Aligned.sortedByCoord.out.bam","SeuratProject",2085451,5296,"marmoset","newworld","primate","SYS_CS6","9","9"
"ERR2851899Aligned.sortedByCoord.out.bam","SeuratProject",709975,7113,"marmoset","newworld","primate","Tb_CS7","4","4"
"ERR2851901Aligned.sortedByCoord.out.bam","SeuratProject",1175596,5120,"marmoset","newworld","primate","SYS_CS6","9","9"
"ERR2851903Aligned.sortedByCoord.out.bam","SeuratProject",516517,10007,"marmoset","newworld","primate","Tb_CS7","6","6"
"ERR2851906Aligned.sortedByCoord.out.bam","SeuratProject",287436,14644,"marmoset","newworld","primate","Gland_CS7","3","3"
"ERR2851909Aligned.sortedByCoord.out.bam","SeuratProject",409208,10046,"marmoset","newworld","primate","EmDisc_CS6","2","2"
"ERR2851910Aligned.sortedByCoord.out.bam","SeuratProject",369533,7484,"marmoset","newworld","primate","VE_CS6","9","9"
"ERR2851911Aligned.sortedByCoord.out.bam","SeuratProject",168710,12394,"marmoset","newworld","primate","Gland_CS7","3","3"
"SLX.12168.N706_S504.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam","SeuratProject",1311163,8562,"marmoset","newworld","primate","Tb_CS7","0","0"
"SLX.12168.N706_S502.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam","SeuratProject",514682,10949,"marmoset","newworld","primate","EmDisc_CS6","2","2"
"SLX.12168.N706_S503.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam","SeuratProject",322933,13313,"marmoset","newworld","primate","EmDisc_CS6","2","2"
"SLX.12168.N704_S502.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam","SeuratProject",587391,8878,"marmoset","newworld","primate","Tb_CS7","4","4"
"SLX.12168.N705_S517.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam","SeuratProject",176119,6486,"marmoset","newworld","primate","SYS_CS7","12","12"
"SLX.12168.N705_S502.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam","SeuratProject",300755,7956,"marmoset","newworld","primate","ExMes_CS6","0","0"
"SLX.12168.N704_S517.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam","SeuratProject",3061426,9538,"marmoset","newworld","primate","Tb_CS7","6","6"
"SLX.12168.N705_S504.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam","SeuratProject",319765,3006,"marmoset","newworld","primate","Am_CS7","1","1"
"SLX.12168.N703_S517.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam","SeuratProject",759472,6713,"marmoset","newworld","primate","Tb_CS7","4","4"
"SLX.12168.N704_S503.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam","SeuratProject",319401,3107,"marmoset","newworld","primate","Am_CS7","1","1"
"SLX.12168.N703_S504.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam","SeuratProject",244105,4995,"marmoset","newworld","primate","Tb_CS6","4","4"
"SLX.12168.N703_S503.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam","SeuratProject",941432,7867,"marmoset","newworld","primate","Tb_CS7","4","4"
"SLX.10821.N706_N503.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","SeuratProject",272613,3523,"marmoset","newworld","primate","Am_CS7","1","1"
"SLX.10821.N705_N503.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","SeuratProject",206721,3851,"marmoset","newworld","primate","Am_CS7","1","1"
"SLX.10821.N703_N503.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","SeuratProject",789925,9784,"marmoset","newworld","primate","Gland_CS6","3","3"
"SLX.12168.N702_S503.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam","SeuratProject",1248599,6037,"marmoset","newworld","primate","EmDisc_CS6","0","0"
"SLX.12168.N702_S504.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam","SeuratProject",521231,6659,"marmoset","newworld","primate","Tb_CS7","4","4"
"SLX.10821.N702_N503.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","SeuratProject",161783,3214,"marmoset","newworld","primate","Am_CS7","1","1"
"SLX.10821.N704_N502.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","SeuratProject",73852,1846,"marmoset","newworld","primate","Tb_CS6","4","4"
"SLX.10821.N705_N517.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","SeuratProject",455493,13116,"marmoset","newworld","primate","Gland_CS6","3","3"
"SLX.10821.N704_N503.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","SeuratProject",1488882,5618,"marmoset","newworld","primate","EmDisc_CS6","0","0"
"SLX.10821.N701_N502.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","SeuratProject",751057,7090,"marmoset","newworld","primate","Tb_CS7","6","6"
"SLX.12168.N703_S502.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam","SeuratProject",174098,3465,"marmoset","newworld","primate","Am_CS7","1","1"
"SLX.10821.N706_N504.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","SeuratProject",434167,4847,"marmoset","newworld","primate","Am_CS7","1","1"
"SLX.10821.N706_N502.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","SeuratProject",334147,6962,"marmoset","newworld","primate","Tb_CS6","4","4"
"SLX.12168.N701_S517.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam","SeuratProject",931885,14618,"marmoset","newworld","primate","Tb_CS7","6","6"
"SLX.10821.N703_N502.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","SeuratProject",253548,3533,"marmoset","newworld","primate","Tb_CS6","4","4"
"SLX.10821.N701_N504.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","SeuratProject",1014118,5917,"marmoset","newworld","primate","Am_CS7","1","1"
"SLX.10821.N702_N502.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","SeuratProject",394031,2703,"marmoset","newworld","primate","ExMes_CS6","9","9"
"SLX.12168.N701_S503.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam","SeuratProject",350752,4668,"marmoset","newworld","primate","Am_CS7","1","1"
"SLX.12168.N701_S504.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam","SeuratProject",45986,1944,"marmoset","newworld","primate","Am_CS7","1","1"
"SLX.10821.N705_N502.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","SeuratProject",112413,2701,"marmoset","newworld","primate","Am_CS7","1","1"
"SLX.10821.N703_N504.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","SeuratProject",855971,6835,"marmoset","newworld","primate","Am_CS7","1","1"
"SLX.12168.N702_S517.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam","SeuratProject",659849,8297,"marmoset","newworld","primate","ExMes_CS6","4","4"
"SLX.10821.N701_N503.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","SeuratProject",513821,6901,"marmoset","newworld","primate","Tb_CS6","4","4"
"SLX.10821.N704_N504.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","SeuratProject",692691,3890,"marmoset","newworld","primate","Am_CS7","1","1"
"SLX.10821.N705_N504.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","SeuratProject",433442,3039,"marmoset","newworld","primate","Tb_CS6","4","4"
"SLX.10821.N702_N517.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","SeuratProject",300564,2835,"marmoset","newworld","primate","ExMes_CS6","0","0"
"SLX.10821.N706_N517.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","SeuratProject",52329,2758,"marmoset","newworld","primate","Am_CS7","1","1"
"SLX.12168.N701_S502.C9JGJANXX.s_8.rAligned.sortedByCoord.out.bam","SeuratProject",1496519,7670,"marmoset","newworld","primate","EmDisc_CS6","2","2"
"CME25A7812760Aligned.sortedByCoord.out.bam.1","SeuratProject",854081,5186,"marmoset","newworld","primate","ExMes_stalk_CS7","1","1"
"CME25A7812757Aligned.sortedByCoord.out.bam.1","SeuratProject",1672089,5863,"marmoset","newworld","primate","ExMes_stalk_CS7","0","0"
"CME25A7812759Aligned.sortedByCoord.out.bam.1","SeuratProject",350056,3710,"marmoset","newworld","primate","ExMes_stalk_CS7","1","1"
"CME25A7812758Aligned.sortedByCoord.out.bam.1","SeuratProject",352916,3837,"marmoset","newworld","primate","ExMes_stalk_CS7","1","1"
"CME25A7812761Aligned.sortedByCoord.out.bam.1","SeuratProject",469277,3876,"marmoset","newworld","primate","ExMes_stalk_CS7","1","1"
"CME25A7812756Aligned.sortedByCoord.out.bam.1","SeuratProject",601182,7198,"marmoset","newworld","primate","ExMes_stalk_CS7","0","0"
"CME25A7812749Aligned.sortedByCoord.out.bam.1","SeuratProject",560714,5081,"marmoset","newworld","primate","ExMes_stalk_CS7","1","1"
"CME25A7812754Aligned.sortedByCoord.out.bam.1","SeuratProject",430803,4710,"marmoset","newworld","primate","ExMes_stalk_CS7","1","1"
"CME25A7812745Aligned.sortedByCoord.out.bam.1","SeuratProject",571204,6558,"marmoset","newworld","primate","ExMes_stalk_CS7","0","0"
"CME25A7812755Aligned.sortedByCoord.out.bam.1","SeuratProject",1161136,6879,"marmoset","newworld","primate","ExMes_stalk_CS7","1","1"
