,V1,V2,V3,V4
ERR2851807Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_2_C8,Pre,ICM_CS3,1
ERR2851808Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_2_C10,Pre,ICM_CS3,1
ERR2851809Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_2_C11,Pre,ICM_CS3,1
ERR2851810Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_3_C3,Pre,ICM_CS3,1
ERR2851811Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_3_C4,Pre,ICM_CS3,1
ERR2851812Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_3_C5,Pre,ICM_CS3,1
ERR2851813Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_3_C6,Pre,ICM_CS3,1
ERR2851814Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_3_C7,Pre,ICM_CS3,1
ERR2851815Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_3_C8,Pre,ICM_CS3,1
ERR2851816Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_3_C9,Pre,ICM_CS3,1
ERR2851817Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_3_C10,Pre,ICM_CS3,1
ERR2851818Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_3_C11,Pre,ICM_CS3,1
ERR2851819Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_3_C12,Pre,ICM_CS3,1
ERR2851820Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_3_C13,Pre,ICM_CS3,1
ERR2851821Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_3_C14,Pre,ICM_CS3,1
ERR2851822Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_3_C15,Pre,ICM_CS3,1
ERR2851823Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_3_C16,Pre,ICM_CS3,1
ERR2851824Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_3_C17,Pre,ICM_CS3,1
ERR2851825Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_3_C18,Pre,ICM_CS3,1
ERR2851826Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_3_C19,Pre,ICM_CS3,1
ERR2851827Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_3_C20,Pre,ICM_CS3,1
ERR2851828Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_3_C21,Pre,ICM_CS3,1
ERR2851829Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_3_C22,Pre,ICM_CS3,1
ERR2851830Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_3_C23,Pre,ICM_CS3,1
ERR2851831Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_3_C24,Pre,ICM_CS3,1
ERR2851832Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_3_C25,Pre,ICM_CS3,1
ERR2851833Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C1,Pre,Hyp_CS3,1
ERR2851834Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C2,Pre,Epi_CS3,1
ERR2851836Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C4,Pre,Hyp_CS3,1
ERR2851837Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C6,Pre,Hyp_CS3,1
ERR2851838Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C7,Pre,Hyp_CS3,1
ERR2851839Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C8,Pre,Hyp_CS3,1
