"","marmoset_dataInVivo$LOC"
"ERR2851855Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C24"
"ERR2851856Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C25"
"ERR2851857Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C26"
"ERR2851858Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C27"
"ERR2851859Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C28"
"ERR2851860Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C29"
"ERR2851861Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C30"
"ERR2851862Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C31"
"ERR2851863Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C32"
"ERR2851864Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C33"
"ERR2851865Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C34"
"ERR2851866Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C35"
"ERR2851867Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C36"
"ERR2851868Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C37"
"ERR2851869Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C38"
"ERR2851870Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C39"
"ERR2851871Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C40"
"ERR2851872Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C1"
"ERR2851873Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C2"
"ERR2851874Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C3"
"ERR2851875Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C4"
"ERR2851876Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C5"
"ERR2851877Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C6"
