"","x"
"CME25A7587276Aligned.sortedByCoord.out.bam",9523
"CME25A7587274Aligned.sortedByCoord.out.bam",7990
"CME25A7587273Aligned.sortedByCoord.out.bam",9744
"CME25A7587272Aligned.sortedByCoord.out.bam",9754
"CME25A7587265Aligned.sortedByCoord.out.bam",6480
"CME25A7587270Aligned.sortedByCoord.out.bam",7012
"CME25A7587267Aligned.sortedByCoord.out.bam",5231
"CME25A7587261Aligned.sortedByCoord.out.bam",7689
"CME25A7587264Aligned.sortedByCoord.out.bam",8265
"CME25A7587269Aligned.sortedByCoord.out.bam",7374
"CME25A7587271Aligned.sortedByCoord.out.bam",8078
"CME25A7587268Aligned.sortedByCoord.out.bam",6356
"CME25A7587266Aligned.sortedByCoord.out.bam",6222
"CME25A7587263Aligned.sortedByCoord.out.bam",8226
"CME25A7587262Aligned.sortedByCoord.out.bam",8141
"CME25A7587260Aligned.sortedByCoord.out.bam",8875
"CME25A7587259Aligned.sortedByCoord.out.bam",7995
"CME25A7587255Aligned.sortedByCoord.out.bam",9337
"CME25A7587257Aligned.sortedByCoord.out.bam",3796
"CME25A7587258Aligned.sortedByCoord.out.bam",6003
"CME25A7587256Aligned.sortedByCoord.out.bam",7727
"CME25A7587253Aligned.sortedByCoord.out.bam",7609
"CME25A7587252Aligned.sortedByCoord.out.bam",8719
"CME25A7587251Aligned.sortedByCoord.out.bam",8114
"CME25A7587248Aligned.sortedByCoord.out.bam",8929
"CME25A7587254Aligned.sortedByCoord.out.bam",6953
"CME25A7587249Aligned.sortedByCoord.out.bam",6813
"CME25A7587250Aligned.sortedByCoord.out.bam",5805
"CME25A7587242Aligned.sortedByCoord.out.bam",9841
"CME25A7587244Aligned.sortedByCoord.out.bam",9718
"CME25A7587240Aligned.sortedByCoord.out.bam",7915
"CME25A7587247Aligned.sortedByCoord.out.bam",9848
"CME25A7587246Aligned.sortedByCoord.out.bam",6453
"CME25A7587241Aligned.sortedByCoord.out.bam",5993
"CME25A7587245Aligned.sortedByCoord.out.bam",10793
"CME25A7587243Aligned.sortedByCoord.out.bam",9418
"CME25A7587239Aligned.sortedByCoord.out.bam",10202
"CME25A7587218Aligned.sortedByCoord.out.bam",7600
"CME25A7587227Aligned.sortedByCoord.out.bam",7449
"CME25A7587230Aligned.sortedByCoord.out.bam",10756
"CME25A7587228Aligned.sortedByCoord.out.bam",9273
"CME25A7587232Aligned.sortedByCoord.out.bam",11666
"CME25A7587237Aligned.sortedByCoord.out.bam",8510
"CME25A7587238Aligned.sortedByCoord.out.bam",8984
"CME25A7587236Aligned.sortedByCoord.out.bam",6813
"CME25A7587234Aligned.sortedByCoord.out.bam",7848
"CME25A7587233Aligned.sortedByCoord.out.bam",10208
"CME25A7587235Aligned.sortedByCoord.out.bam",9396
"CME25A7587226Aligned.sortedByCoord.out.bam",7602
"CME25A7587231Aligned.sortedByCoord.out.bam",9670
"CME25A7587229Aligned.sortedByCoord.out.bam",8241
"CME25A7587225Aligned.sortedByCoord.out.bam",7558
"CME25A7587223Aligned.sortedByCoord.out.bam",8738
"CME25A7587224Aligned.sortedByCoord.out.bam",10131
"CME25A7587222Aligned.sortedByCoord.out.bam",9777
"CME25A7587217Aligned.sortedByCoord.out.bam",7422
"CME25A7587220Aligned.sortedByCoord.out.bam",6738
"CME25A7587219Aligned.sortedByCoord.out.bam",7002
"CME25A7587221Aligned.sortedByCoord.out.bam",9472
"CME25A7587216Aligned.sortedByCoord.out.bam",9727
"CME25A7587215Aligned.sortedByCoord.out.bam",8062
"CME25A7587214Aligned.sortedByCoord.out.bam",9094
"CME25A7587213Aligned.sortedByCoord.out.bam",6628
"CME25A7587212Aligned.sortedByCoord.out.bam",7230
"ERR2851716Aligned.sortedByCoord.out.bam",7274
"ERR2851717Aligned.sortedByCoord.out.bam",7837
"ERR2851718Aligned.sortedByCoord.out.bam",8777
"ERR2851719Aligned.sortedByCoord.out.bam",9558
"ERR2851720Aligned.sortedByCoord.out.bam",8144
"ERR2851721Aligned.sortedByCoord.out.bam",5969
"ERR2851722Aligned.sortedByCoord.out.bam",8388
"ERR2851723Aligned.sortedByCoord.out.bam",9409
"ERR2851724Aligned.sortedByCoord.out.bam",6674
"ERR2851725Aligned.sortedByCoord.out.bam",6010
"ERR2851726Aligned.sortedByCoord.out.bam",2077
"ERR2851727Aligned.sortedByCoord.out.bam",5150
"ERR2851728Aligned.sortedByCoord.out.bam",4637
"ERR2851729Aligned.sortedByCoord.out.bam",4166
"ERR2851730Aligned.sortedByCoord.out.bam",4185
"ERR2851731Aligned.sortedByCoord.out.bam",2955
"ERR2851732Aligned.sortedByCoord.out.bam",3111
"ERR2851733Aligned.sortedByCoord.out.bam",9147
"ERR2851734Aligned.sortedByCoord.out.bam",4831
"ERR2851735Aligned.sortedByCoord.out.bam",7340
"ERR2851736Aligned.sortedByCoord.out.bam",5741
"ERR2851737Aligned.sortedByCoord.out.bam",3315
"ERR2851738Aligned.sortedByCoord.out.bam",5746
"ERR2851739Aligned.sortedByCoord.out.bam",2692
"ERR2851740Aligned.sortedByCoord.out.bam",3145
"ERR2851741Aligned.sortedByCoord.out.bam",4907
"ERR2851742Aligned.sortedByCoord.out.bam",6924
"ERR2851743Aligned.sortedByCoord.out.bam",3458
"ERR2851744Aligned.sortedByCoord.out.bam",11655
"ERR2851745Aligned.sortedByCoord.out.bam",7190
"ERR2851746Aligned.sortedByCoord.out.bam",1850
"ERR2851747Aligned.sortedByCoord.out.bam",4642
"ERR2851748Aligned.sortedByCoord.out.bam",2310
"ERR2851749Aligned.sortedByCoord.out.bam",4924
"ERR2851750Aligned.sortedByCoord.out.bam",3571
"ERR2851751Aligned.sortedByCoord.out.bam",6789
"ERR2851752Aligned.sortedByCoord.out.bam",5755
"ERR2851753Aligned.sortedByCoord.out.bam",5824
"ERR2851754Aligned.sortedByCoord.out.bam",4473
"ERR2851755Aligned.sortedByCoord.out.bam",4030
"ERR2851756Aligned.sortedByCoord.out.bam",3988
"ERR2851757Aligned.sortedByCoord.out.bam",5076
"ERR2851758Aligned.sortedByCoord.out.bam",3605
"ERR2851759Aligned.sortedByCoord.out.bam",6780
"ERR2851760Aligned.sortedByCoord.out.bam",3994
"ERR2851761Aligned.sortedByCoord.out.bam",6496
"ERR2851762Aligned.sortedByCoord.out.bam",7045
"ERR2851763Aligned.sortedByCoord.out.bam",6453
"ERR2851764Aligned.sortedByCoord.out.bam",3128
"ERR2851765Aligned.sortedByCoord.out.bam",1936
"ERR2851766Aligned.sortedByCoord.out.bam",3556
"ERR2851767Aligned.sortedByCoord.out.bam",5822
"ERR2851768Aligned.sortedByCoord.out.bam",6415
"ERR2851769Aligned.sortedByCoord.out.bam",6454
"ERR2851770Aligned.sortedByCoord.out.bam",4939
"ERR2851771Aligned.sortedByCoord.out.bam",5870
"ERR2851772Aligned.sortedByCoord.out.bam",3246
"ERR2851773Aligned.sortedByCoord.out.bam",3830
"ERR2851774Aligned.sortedByCoord.out.bam",9256
"ERR2851775Aligned.sortedByCoord.out.bam",5674
"ERR2851776Aligned.sortedByCoord.out.bam",2925
"ERR2851777Aligned.sortedByCoord.out.bam",5334
"ERR2851778Aligned.sortedByCoord.out.bam",5357
"ERR2851779Aligned.sortedByCoord.out.bam",5055
"ERR2851780Aligned.sortedByCoord.out.bam",1576
"ERR2851781Aligned.sortedByCoord.out.bam",8581
"ERR2851782Aligned.sortedByCoord.out.bam",4976
"ERR2851783Aligned.sortedByCoord.out.bam",5941
"ERR2851784Aligned.sortedByCoord.out.bam",2664
"ERR2851785Aligned.sortedByCoord.out.bam",7587
"ERR2851786Aligned.sortedByCoord.out.bam",10354
"ERR2851787Aligned.sortedByCoord.out.bam",9794
"ERR2851788Aligned.sortedByCoord.out.bam",12939
"ERR2851789Aligned.sortedByCoord.out.bam",17207
"ERR2851790Aligned.sortedByCoord.out.bam",8610
"ERR2851791Aligned.sortedByCoord.out.bam",7980
"ERR2851792Aligned.sortedByCoord.out.bam",6361
"ERR2851793Aligned.sortedByCoord.out.bam",7621
"ERR2851794Aligned.sortedByCoord.out.bam",7675
"ERR2851795Aligned.sortedByCoord.out.bam",11764
"ERR2851796Aligned.sortedByCoord.out.bam",15458
"ERR2851797Aligned.sortedByCoord.out.bam",7301
"ERR2851798Aligned.sortedByCoord.out.bam",8006
"ERR2851799Aligned.sortedByCoord.out.bam",6279
"ERR2851800Aligned.sortedByCoord.out.bam",10316
"ERR2851801Aligned.sortedByCoord.out.bam",15949
"ERR2851802Aligned.sortedByCoord.out.bam",12609
"ERR2851803Aligned.sortedByCoord.out.bam",6571
"ERR2851804Aligned.sortedByCoord.out.bam",8566
"ERR2851805Aligned.sortedByCoord.out.bam",6547
