Filename,SRR,ID,Day,Type,Type2,Type3,Type4,Type5,Order
SRR10039932Aligned.sortedByCoord.out.bam,SRR10039932,D14A1B11,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,126
SRR10039925Aligned.sortedByCoord.out.bam,SRR10039925,D14_3S15,D14,EPI,EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,127
SRR10039931Aligned.sortedByCoord.out.bam,SRR10039931,D14A1B10,D14,STB,STB_D14,Tb_CS6,STb_CS6,Tb_CS6,128
SRR10039920Aligned.sortedByCoord.out.bam,SRR10039920,D14_1S2,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,129
SRR10039922Aligned.sortedByCoord.out.bam,SRR10039922,D14_3B5,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,130
SRR10039917Aligned.sortedByCoord.out.bam,SRR10039917,D14_1B2,D14,STB,STB_D14,Tb_CS6,STb_CS6,Tb_CS6,131
SRR10039918Aligned.sortedByCoord.out.bam,SRR10039918,D14_1B5,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,132
SRR10039921Aligned.sortedByCoord.out.bam,SRR10039921,D14_2S1,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,133
SRR10039916Aligned.sortedByCoord.out.bam,SRR10039916,D14_1B1,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,134
SRR10039919Aligned.sortedByCoord.out.bam,SRR10039919,D14_1S10,D14,STB,STB_D14,Tb_CS6,STb_CS6,Tb_CS6,135
SRR10039914Aligned.sortedByCoord.out.bam,SRR10039914,D12_2S1,D12,STB,STB_D12,Tb_CS5,STb_CS5C,Tb_CS5,136
SRR10039915Aligned.sortedByCoord.out.bam,SRR10039915,D12A4S27,D12,EPI,EPI_D12,EmDisc_CS5,EmDisc_CS5C,EmDisc_CS5,137
SRR10039912Aligned.sortedByCoord.out.bam,SRR10039912,D12_2B2,D12,EVT,EVT_D12,Tb_CS5,EVTb_CS5C,Tb_CS5,138
SRR10039913Aligned.sortedByCoord.out.bam,SRR10039913,D12_2B9,D12,EVT,EVT_D12,Tb_CS5,EVTb_CS5C,Tb_CS5,139
SRR10039911Aligned.sortedByCoord.out.bam,SRR10039911,D12_1B4,D12,STB,STB_D12,Tb_CS5,STb_CS5C,Tb_CS5,140
SRR10039907Aligned.sortedByCoord.out.bam,SRR10039907,D12A5S4,D12,PrE,PrE_D12,VE_CS5,VE_CS5C,VE_CS5,141
SRR10039910Aligned.sortedByCoord.out.bam,SRR10039910,D12_1B3,D12,EVT,EVT_D12,Tb_CS5,EVTb_CS5C,Tb_CS5,142
SRR10039909Aligned.sortedByCoord.out.bam,SRR10039909,D12A5S6,D12,EPI,EPI_D12,EmDisc_CS5,EmDisc_CS5C,EmDisc_CS5,143
SRR10039908Aligned.sortedByCoord.out.bam,SRR10039908,D12A5S5,D12,EPI,EPI_D12,EmDisc_CS5,EmDisc_CS5C,EmDisc_CS5,144
SRR10039905Aligned.sortedByCoord.out.bam,SRR10039905,D12A5S25,D12,PrE,PrE_D12,VE_CS5,VE_CS5C,VE_CS5,145
SRR10039906Aligned.sortedByCoord.out.bam,SRR10039906,D12A5S30,D12,PrE,PrE_D12,VE_CS5,VE_CS5C,VE_CS5,146
SRR10039903Aligned.sortedByCoord.out.bam,SRR10039903,D12A5S20,D12,PrE,PrE_D12,VE_CS5,VE_CS5C,VE_CS5,147
SRR10039904Aligned.sortedByCoord.out.bam,SRR10039904,D12A5S24,D12,PrE,PrE_D12,VE_CS5,VE_CS5C,VE_CS5,148
SRR10039902Aligned.sortedByCoord.out.bam,SRR10039902,D12A5S1,D12,PrE,PrE_D12,VE_CS5,VE_CS5C,VE_CS5,149
SRR10039901Aligned.sortedByCoord.out.bam,SRR10039901,D12A5S19,D12,EPI,EPI_D12,EmDisc_CS5,EmDisc_CS5C,EmDisc_CS5,150
SRR10039900Aligned.sortedByCoord.out.bam,SRR10039900,D12A5S18,D12,CTB,CTB_D12,Tb_CS5,CTb_CS5C,Tb_CS5,151
SRR10039885Aligned.sortedByCoord.out.bam,SRR10039885,D12A4S22,D12,EPI,EPI_D12,EmDisc_CS5,EmDisc_CS5C,EmDisc_CS5,152
SRR10039899Aligned.sortedByCoord.out.bam,SRR10039899,D12A5S17,D12,PrE,PrE_D12,VE_CS5,VE_CS5C,VE_CS5,153
SRR10039896Aligned.sortedByCoord.out.bam,SRR10039896,D12A5B9,D12,STB,STB_D12,Tb_CS5,STb_CS5C,Tb_CS5,154
SRR10039898Aligned.sortedByCoord.out.bam,SRR10039898,D12A5S16,D12,EPI,EPI_D12,EmDisc_CS5,EmDisc_CS5C,EmDisc_CS5,155
SRR10039894Aligned.sortedByCoord.out.bam,SRR10039894,D12A5B5,D12,EVT,EVT_D12,Tb_CS5,EVTb_CS5C,Tb_CS5,156
SRR10039895Aligned.sortedByCoord.out.bam,SRR10039895,D12A5B6,D12,CTB,CTB_D12,Tb_CS5,CTb_CS5C,Tb_CS5,157
SRR10039893Aligned.sortedByCoord.out.bam,SRR10039893,D12A5B15,D12,STB,STB_D12,Tb_CS5,STb_CS5C,Tb_CS5,158
SRR10039897Aligned.sortedByCoord.out.bam,SRR10039897,D12A5S13,D12,CTB,CTB_D12,Tb_CS5,CTb_CS5C,Tb_CS5,159
SRR10039892Aligned.sortedByCoord.out.bam,SRR10039892,D12A5B11,D12,PrE,PrE_D12,VE_CS5,VE_CS5C,VE_CS5,160
SRR10039888Aligned.sortedByCoord.out.bam,SRR10039888,D12A4S2,D12,CTB,CTB_D12,Tb_CS5,CTb_CS5C,Tb_CS5,161
SRR10039891Aligned.sortedByCoord.out.bam,SRR10039891,D12A4S9,D12,CTB,CTB_D12,Tb_CS5,CTb_CS5C,Tb_CS5,162
SRR10039890Aligned.sortedByCoord.out.bam,SRR10039890,D12A4S7,D12,EPI,EPI_D12,EmDisc_CS5,EmDisc_CS5C,EmDisc_CS5,163
SRR10039887Aligned.sortedByCoord.out.bam,SRR10039887,D12A4S29,D12,EPI,EPI_D12,EmDisc_CS5,EmDisc_CS5C,EmDisc_CS5,164
SRR10039889Aligned.sortedByCoord.out.bam,SRR10039889,D12A4S30,D12,EPI,EPI_D12,EmDisc_CS5,EmDisc_CS5C,EmDisc_CS5,165
SRR10039886Aligned.sortedByCoord.out.bam,SRR10039886,D12A4S26,D12,EPI,EPI_D12,EmDisc_CS5,EmDisc_CS5C,EmDisc_CS5,166
